1,1,530.00,270.00,553.00,343.00,1,-1,-1,-1
1,2,464.00,223.00,482.00,279.00,1,-1,-1,-1
1,3,491.00,249.00,514.00,318.00,1,-1,-1,-1
1,4,588.00,265.00,608.00,334.00,1,-1,-1,-1
1,5,655.00,252.00,675.00,308.00,1,-1,-1,-1
1,6,545.00,239.00,564.00,291.00,1,-1,-1,-1
1,7,572.00,252.00,595.00,312.00,1,-1,-1,-1
1,8,633.00,263.00,656.00,316.00,1,-1,-1,-1
1,9,623.00,211.00,640.00,263.00,1,-1,-1,-1
1,10,621.00,256.00,636.00,306.00,1,-1,-1,-1
1,11,564.00,213.00,582.00,257.00,1,-1,-1,-1
1,12,513.00,258.00,535.00,327.00,1,-1,-1,-1
1,13,606.00,191.00,621.00,237.00,1,-1,-1,-1
1,14,508.00,224.00,528.00,276.00,1,-1,-1,-1
1,15,492.00,215.00,508.00,258.00,1,-1,-1,-1
2,1,530.00,270.00,553.00,343.00,1,-1,-1,-1
2,2,463.00,223.00,482.00,279.00,1,-1,-1,-1
2,3,490.00,248.00,513.00,319.00,1,-1,-1,-1
2,4,587.00,264.00,608.00,334.00,1,-1,-1,-1
2,5,656.00,252.00,675.00,309.00,1,-1,-1,-1
2,6,545.00,239.00,563.00,291.00,1,-1,-1,-1
2,7,573.00,252.00,596.00,312.00,1,-1,-1,-1
2,8,634.00,264.00,656.00,316.00,1,-1,-1,-1
2,9,623.00,212.00,640.00,263.00,1,-1,-1,-1
2,10,621.00,257.00,636.00,307.00,1,-1,-1,-1
2,11,564.00,213.00,581.00,257.00,1,-1,-1,-1
2,12,512.00,258.00,534.00,327.00,1,-1,-1,-1
2,13,605.00,191.00,621.00,237.00,1,-1,-1,-1
2,14,508.00,224.00,527.00,277.00,1,-1,-1,-1
2,15,492.00,216.00,507.00,258.00,1,-1,-1,-1
2,16,580.00,190.00,593.00,226.00,1,-1,-1,-1
3,1,529.00,270.00,552.00,343.00,1,-1,-1,-1
3,2,462.00,223.00,481.00,280.00,1,-1,-1,-1
3,3,490.00,254.00,512.00,322.00,1,-1,-1,-1
3,4,588.00,268.00,607.00,335.00,1,-1,-1,-1
3,5,656.00,252.00,676.00,310.00,1,-1,-1,-1
3,6,545.00,240.00,563.00,292.00,1,-1,-1,-1
3,7,572.00,253.00,595.00,311.00,1,-1,-1,-1
3,8,634.00,264.00,657.00,317.00,1,-1,-1,-1
3,9,622.00,213.00,639.00,263.00,1,-1,-1,-1
3,10,620.00,257.00,636.00,308.00,1,-1,-1,-1
3,11,563.00,214.00,581.00,258.00,1,-1,-1,-1
3,12,511.00,258.00,533.00,328.00,1,-1,-1,-1
3,13,606.00,190.00,621.00,236.00,1,-1,-1,-1
3,14,508.00,224.00,527.00,277.00,1,-1,-1,-1
3,15,491.00,216.00,507.00,259.00,1,-1,-1,-1
3,16,580.00,190.00,593.00,226.00,1,-1,-1,-1
4,1,529.00,270.00,552.00,343.00,1,-1,-1,-1
4,2,462.00,224.00,481.00,281.00,1,-1,-1,-1
4,3,488.00,255.00,511.00,323.00,1,-1,-1,-1
4,4,588.00,269.00,608.00,336.00,1,-1,-1,-1
4,5,657.00,252.00,676.00,310.00,1,-1,-1,-1
4,6,545.00,240.00,564.00,292.00,1,-1,-1,-1
4,7,572.00,253.00,595.00,311.00,1,-1,-1,-1
4,8,635.00,264.00,658.00,317.00,1,-1,-1,-1
4,9,622.00,214.00,639.00,263.00,1,-1,-1,-1
4,10,620.00,257.00,636.00,308.00,1,-1,-1,-1
4,11,563.00,214.00,581.00,259.00,1,-1,-1,-1
4,12,509.00,256.00,532.00,328.00,1,-1,-1,-1
4,13,605.00,190.00,621.00,236.00,1,-1,-1,-1
4,14,508.00,224.00,527.00,276.00,1,-1,-1,-1
4,15,491.00,216.00,506.00,259.00,1,-1,-1,-1
4,16,579.00,189.00,594.00,226.00,1,-1,-1,-1
5,1,529.00,272.00,552.00,344.00,1,-1,-1,-1
5,2,462.00,224.00,481.00,281.00,1,-1,-1,-1
5,3,488.00,254.00,511.00,325.00,1,-1,-1,-1
5,4,588.00,270.00,607.00,336.00,1,-1,-1,-1
5,5,657.00,252.00,676.00,311.00,1,-1,-1,-1
5,6,545.00,240.00,563.00,292.00,1,-1,-1,-1
5,7,572.00,253.00,595.00,310.00,1,-1,-1,-1
5,8,634.00,263.00,657.00,318.00,1,-1,-1,-1
5,9,622.00,214.00,639.00,263.00,1,-1,-1,-1
5,10,620.00,255.00,636.00,308.00,1,-1,-1,-1
5,11,562.00,214.00,580.00,259.00,1,-1,-1,-1
5,12,507.00,255.00,531.00,329.00,1,-1,-1,-1
5,13,606.00,191.00,622.00,236.00,1,-1,-1,-1
